@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
29,'2019/12/08 21:35:09:916',3,450.176086,409.923035,55.680424,570.514465,373.350098,63.819626,410.645172,402.488342,53.08699,413.932373,406.401245,49.656742,434.517548,407.998444,47.203564,90,?,0
30,'2019/12/08 21:35:09:966',3,451.386261,410.088745,55.555164,570.95697,373.038025,63.923553,411.335815,402.824677,53.105793,414.502411,406.088074,49.60722,435.015686,407.104767,47.133675,90,?,0
31,'2019/12/08 21:35:10:016',3,451.542908,409.955292,55.557087,570.795166,372.355957,63.983757,411.423584,402.948425,53.134281,414.587982,405.998322,49.597004,435.174225,406.877014,47.138012,90,?,0
32,'2019/12/08 21:35:20:081',4,407.974243,408.352203,52.70108,394.672943,367.593781,66.421364,399.538147,412.011261,46.878273,422.769135,416.607239,45.692413,451.498962,414.669617,45.619545,90,?,88.2
33,'2019/12/08 21:35:20:131',4,407.601288,408.602722,52.574333,394.667633,367.821289,66.328629,398.999939,412.036713,46.754215,422.105804,416.828247,45.634811,450.788818,414.905579,45.524052,90,?,88.2
34,'2019/12/08 21:35:20:182',4,407.734894,408.862457,52.544693,394.92215,368.172363,66.350166,399.041199,412.179688,46.726006,422.042419,417.071777,45.662109,450.665985,414.991058,45.498749,90,?,88.2
35,'2019/12/08 21:35:20:231',4,408.164246,408.99292,52.512268,395.500671,368.31073,66.327324,399.481903,412.301025,46.69276,422.452911,417.229614,45.645756,451.041595,415.112427,45.471443,90,?,88.2
36,'2019/12/08 21:35:20:282',4,408.696014,408.887329,52.495296,396.235809,368.215027,66.298798,400.148987,412.290314,46.67522,423.127106,417.229919,45.644787,451.647949,415.041595,45.45116,90,?,88.2
37,'2019/12/08 21:35:20:331',4,408.99881,408.673767,52.526176,396.901031,368.021362,66.32608,400.648529,412.188049,46.714012,423.635712,417.13269,45.697533,452.113403,414.879639,45.486755,90,?,88.2
38,'2019/12/08 21:35:20:381',4,409.593323,408.600006,52.578163,397.348083,367.844055,66.390213,401.02298,412.075134,46.782681,424.027863,417.04306,45.811394,452.465668,414.66391,45.560963,90,?,88.2
